Message_ID,Original_Message,Transmitted_Message,Error_Correction_Applied,Corrected_Message,Encryption_Type,Encrypted_Message,Decrypted_Message,Authentication_Status,Transmission_Time (ms),Error_Rate (%),Throughput (Mbps),Data_Integrity (%),Target
11,Station Departing Maintenance Maintenance,Station Departing Maintenance Maintenancv,1,Station Departing Maintenance Maintenance,RSA,gAAAAABnlGiL2KchquJiW5df0vynjRhIlXdGaU8U6ma_6XeIeJbQtrWIhj87vsmN0LjIdD3E7EE_m7dp2B9abZjANjl6WRKjR6Jy62kQXp0zbJsM4uNLPKdkHtyFkYrhKn_eIVeJXv4S,Station Departing Maintenance Maintenance,Success,6.93,0.22,53.22,99.78,Secure
12,Station Departing On-Time Arriving Arriving Departing Train,Station Departing On-Time Arriving Arriving Departing Train,0,Station Departing On-Time Arriving Arriving Departing Train,HybridRSA-Blowfish,gAAAAABnlGiLb7SoSB8zNnTJJxzI8NfggqnMigVJO0Hx_29KJ8_oLf_5eQAgqXkJ2WmWUIlRGwsYdiryndRxoFrvLRfXiMpaZ_5h8f9N_aVfcGoCQ5PaxVX_2G9agv2no9afjmiMJdmcrUg3N9pX9lrd_iFzed0GaA==,Station Departing On-Time Arriving Arriving Departing Train,Success,12.28,1.61,52.99,98.39,Secure
13,On-Time Arriving Train Maintenance Train Departing,On-Time Arriving Train Maintenance Train Departing,0,On-Time Arriving Train Maintenance Train Departing,RSA,gAAAAABnlGiLGmGLol0AtIyxXkk5_U2eONlRGs2hd4CmcWANb6SQb-yp13FNQad0SQOsbds8yxcf3Gz3PA5XoVJI4dJkXlMXhYJ_35CT9ybUOoejZWQbhO9ebI-6s7dFLiq5wAmtJzIWyxaGKlcKuIWU1kwbHm5Xwg==,On-Time Arriving Train Maintenance Train Departing,Failure,8.72,0.07,53.28,99.93,Not Secure
14,Train Arriving Delays Maintenance Arriving,Train Arriving Delays Maintenance Arriving,0,Train Arriving Delays Maintenance Arriving,HybridRSA-Blowfish,gAAAAABnlGiLzWWo0lYcGZXSwMYN1qeIPuchKnbo0g-VAkuKcKIHd3L_rFR2LzYnxMihMkzqGBTPCLBYNpdtANULYXapnFECGqQGN54bsgxcTV3-o9FWCAX1TqZ6mGxYWboEGNz05Qxv,Train Arriving Delays Maintenance Arriving,Failure,6.33,0.9,50.54,99.1,Not Secure
15,Departing Delays Station On-Time Arriving,Departing Delays Station On-Time Arriving,0,Departing Delays Station On-Time Arriving,Blowfish,gAAAAABnlGiLY-RO2drGq3fBPY0CSIoVOqU5xq2KYUbvGIVGWJ_9gu8pg0zJ2CSBA3e21SsESqcTsdPGYbxQ__uem6YTqHfzchStiMNgsbbtp9VJMmtBqRbvxunPtvQkQwVl-PTX53Bb,Departing Delays Station On-Time Arriving,Success,12.66,0.51,52.37,99.49,Secure
16,Arriving Station On-Time Station Station Train Departing,Arriving Station On-Time Station Station Train Departing,0,Arriving Station On-Time Station Station Train Departing,RSA,gAAAAABnlGiLeiGr-NvhDqNg-P8BA18TD-9WDOCpEAJ86sF8zB0VwbD3Zgby6oqAsq6sCKDBrF5lXnMFRmQ1g-Fo4pR6oB-qrJ_vEX4qzaPMvH73gA0Z2L-Y0Dv3Am6P4zgEj4UGRKiQNyQlZ4iEhYDpQmRQkTskHQ==,Arriving Station On-Time Station Station Train Departing,Failure,11.83,1.54,59.98,98.46,Not Secure
17,Station Station Station Delays On-Time Arriving Station,Station Station Station Delays On-Time Arriving Station,0,Station Station Station Delays On-Time Arriving Station,RSA,gAAAAABnlGiLYN6-5-RhdLFYVmK7dta5F68tqDKaBk2NcBbPOgeLXESNHU28ZCUyZFvlFphh0idxVqGz8FOIJBKzyWIdyhH6CEiik_d-QUzdskd80Q69jBbDcbs9h8o8CuOMEnTLi2hU_bz2tfkDOyB_G-VzladJZQ==,Station Station Station Delays On-Time Arriving Station,Failure,5.95,0.27,52.41,99.73,Not Secure
18,Maintenance Delays Train Arriving Station Arriving Arriving,Maintenance Delays TrJin Arriving Station Arriving Arriving,1,Maintenance Delays Train Arriving Station Arriving Arriving,RSA,gAAAAABnlGiLHfG2imNZi9Mqgmv5FLTE8fnjQ5zxQe2zR1uL4TJ0YsRNqqfvIVwvhtF5u7xRqamZ-zMtvAMOzGpP_YB8TeEBaJl_zsBnOXwxNlSHJ6XVXst3wFCfoH3yXHI8951Zj6o-L7qHwNB4uOqoG6pHQLArbg==,Maintenance Delays Train Arriving Station Arriving Arriving,Failure,7.39,0.84,54.64,99.16,Not Secure
19,Train Maintenance Station Arriving Delays Departing Train,Train Maintenance Station Arriving Delays Departing Train,0,Train Maintenance Station Arriving Delays Departing Train,RSA,gAAAAABnlGiLa9PZGDFQKBuZ966T-9JWj5PT623YHiY-SjJsBqzUFDEwinY1ghqXo5eL798hxeCdsF-WZRzT78DgeMrvQtAi_bx4XxzpZ_9f_yv0hS_vFXrcucHLftYOoXOvRXwdIzZDQTPtDKkaG1D7ZCbc8vtYwg==,Train Maintenance Station Arriving Delays Departing Train,Success,7.18,0.14,53.72,99.86,Secure
20,Train Station Maintenance On-Time Arriving,Train Station Maintenance On-Time Arriving,0,Train Station Maintenance On-Time Arriving,HybridRSA-Blowfish,gAAAAABnlGiLXX3cXBSGywDXmnb84-4RaTvwtQtolUoYwRaHIrcK96ZVd1uzoGDcin0KkRwAlu7bzBRPFkxqWx4O0b5z8-beeIX-NfIUR2xj4hp6HyCCLUq9zgZzuY13Sto7uw3AWVRU,Train Station Maintenance On-Time Arriving,Success,5.92,0.75,55.1,99.25,Secure
21,Maintenance Departing Delays Arriving Arriving,Maintenance Departing Delays Arriving Arriving,0,Maintenance Departing Delays Arriving Arriving,RSA,gAAAAABnlGiLYMPn-qQ6zUoPtwpEO_K0Pjmv-a1-5Q0iANCuOcXC00u6udOIQ-1b1TvaqtsW1btFTB0cVcvfy72ajRpYB3wJgTe7WF8EOa7IKi0gsqX_onB1GuUB5K1AGKsbVB7ntadN,Maintenance Departing Delays Arriving Arriving,Failure,8.71,0.49,50.5,99.51,Not Secure
22,Maintenance Train Delays Maintenance Delays,Maintenance Train Delays Maintenance Delays,0,Maintenance Train Delays Maintenance Delays,RSA,gAAAAABnlGiL85ntT8d5iIPSvimWDY86EO13cSvsPoE2YkPzlpUYgFH0322dA9F90yp5pDlwSEY0DssIlINLoZpRcceYb5_YQQ8EPcqHcf1Z_0r79ZtDV2113ac7leILYIbSeCGhvYNH,Maintenance Train Delays Maintenance Delays,Success,11.97,1.6,58.47,98.4,Secure
23,Train Departing Arriving Departing,Train Departing Arriving Departing,0,Train Departing Arriving Departing,Blowfish,gAAAAABnlGiLbNgonU0h-zJ6EKiTjSLnNe0sbG2T6zQ8Jt6iDaLncJdu9KxPnTSmLLTBX4OnjOuCbVmmaWLt49lOgCiW7MpEodpb9zFnN5xskWCGQkn1XyaeCkgfJc5Gw8Z0I1GvsGZJ,Train Departing Arriving Departing,Success,12.97,1.19,50.16,98.81,Secure
24,Delays Departing Station Arriving Train Delays Delays,Delays Departing Station Arriving Train Delays Delays,0,Delays Departing Station Arriving Train Delays Delays,Blowfish,gAAAAABnlGiL433Mr8m7kpSWJILFl2opKRWAbpHAzrPeE1-JyLRhFAm4qjTrVZqG9vmG2eN82_zF0rZ-UlNDQrcM397ZS9pzMVc1qFfbeiM7u2Mms0PlaT3C77X1VSsuREfT_TrG5ocoxLxi2P6SuziHNPF_8rehrA==,Delays Departing Station Arriving Train Delays Delays,Success,9.15,1.26,55.76,98.74,Secure
25,Maintenance Departing Maintenance Departing Departing Maintenance Station,Maintenance Departing Maintenance Departing Departing Maintenance Station,0,Maintenance Departing Maintenance Departing Departing Maintenance Station,HybridRSA-Blowfish,gAAAAABnlGiLWz8AsyhN-ffTPIxpguvVtlMTz1bQKYI28j6Rhlj4FsoLxFqxXm6SJFYPb9AfG7d6TctiuTpPSb-NqgFwhiNZdXQKFHeJOc3lulp4J_LFfElq6VN0WNSuHnLAxiH5B1EqeSiR4AeQexOlagrhwBxFvNUfWowNcmh8Lynd9zGvezQ=,Maintenance Departing Maintenance Departing Departing Maintenance Station,Success,5.8,0.73,51.55,99.27,Secure
26,Arriving Delays Maintenance Delays Delays,Arrioing Delays Maintenance Delays Delays,1,Arriving Delays Maintenance Delays Delays,HybridRSA-Blowfish,gAAAAABnlGiLDfyvhExnMJuEHubFfwCg51f-ZH866L3KH9VdXOlqLIMrs38ShT0EmRqXUEOug5RAKyvu9FjFDJtPTdZc1EJWM_EjTEjU4BA2w4TfSAuSC4_Flt_HxCTq1LTGxBRRpm2N,Arriving Delays Maintenance Delays Delays,Failure,9.9,0.39,59.88,99.61,Not Secure
27,Station Delays Station Departing On-Time,Station Delays Station Departing On-Time,0,Station Delays Station Departing On-Time,HybridRSA-Blowfish,gAAAAABnlGiLIl9B-Gm3HIdoKJigjxb77DNa3WQrR5hm3NTxNRDUx1IIYDQfoJesKLNxD4Tmo6jp1-S0pfXpgShhwPSuhcDCp6PWNS7YgBiJkpf_yXYcpVwL20W4hDxNlKp2zA9H1_uw,Station Delays Station Departing On-Time,Success,9.79,0.93,53.68,99.07,Secure
28,Maintenance Arriving Train On-Time Departing On-Time,Maintenance Arriving Train On-Time Demarting On-Time,1,Maintenance Arriving Train On-Time Departing On-Time,HybridRSA-Blowfish,gAAAAABnlGiLFtX2rzCvGqNjp_SNk8sKutSdEHR034oJmcmfsOwVvF7JQ-wTQfR0CWIHYHBbVr2HUnZ15FSp2EmEvt2Ez7J1X_qzvgLx6Bm9j-rmw61umr6mimgOTWmcYVCgTa_ylsUHDSQ4qP8XPWl9zvqH2BP80g==,Maintenance Arriving Train On-Time Departing On-Time,Failure,9.65,1.14,53.79,98.86,Not Secure
29,On-Time Station Train Departing,On-Time Station Train Departing,0,On-Time Station Train Departing,RSA,gAAAAABnlGiLD2bbldSEWar5v8w3txfSTIpVMOz_upV9nX8k4uf_uE402vqLrj8L2gwJofR0BeZ-0P0GIwsMtwaQ3UhUY95L3SxKLmCq_Uv9JArB4btd3lA=,On-Time Station Train Departing,Success,10.34,1.03,56.8,98.97,Secure
30,On-Time Departing Station On-Time,On-Time Departing Station On-Time,0,On-Time Departing Station On-Time,HybridRSA-Blowfish,gAAAAABnlGiLeohCfkiIu5JuPiP8OEwojrnGQzFvE2cARcvL6t1fMHRT-dicDDTWUaQvdF2PHj6HRkHKn1nl0ayB-dgtH5MwhpL2tBtmr_QKhcXtcGMc-JqspGr1yJL5XL5daGzbVNWh,On-Time Departing Station On-Time,Success,8.95,1.08,50.03,98.92,Secure
31,Departing Station On-Time Maintenance Arriving Maintenance,Departing Station On-Time Maintenance Arriving Maintenance,0,Departing Station On-Time Maintenance Arriving Maintenance,HybridRSA-Blowfish,gAAAAABnlGiLeqa5TUlN9sF4gzXSqmKFLtWWTK3QnuqYa55F0ySUOplRL8tlMMEXSWswjS-M3KK-EqU5PUBLwEQ0IcKfhxXTyn6hpnmypAwahG_1ylxGL91qAGHLwjHngm8fUEMPj4Ae5EkEVsMBOtnQLRD_4ifU0w==,Departing Station On-Time Maintenance Arriving Maintenance,Success,9.22,0.77,50.77,99.23,Secure
32,Station On-Time On-Time On-Time Maintenance Arriving On-Time,Station On-Time On-Time On-Time Maintenance Arriving On-Time,0,Station On-Time On-Time On-Time Maintenance Arriving On-Time,Blowfish,gAAAAABnlGiLhqPgUWDRx5wuXWBDoKJHhEIrbf5Cs78SNrZCvi_zUoh0QT_fGOo8GG8GTD3-aC2HDQxRWVnCCdao92rHFmhZc9ekYpeTMPaYVhVe4kQYLBLjB4lj8inZSxOC0dzlP0MccGSm8aOeZEwzu3sIZsSQVw==,Station On-Time On-Time On-Time Maintenance Arriving On-Time,Success,10.69,1.84,51.76,98.16,Secure
33,On-Time Station Train Maintenance On-Time On-Time Arriving,On-Time Station Train Maintenance On-Time On-Time Arriving,0,On-Time Station Train Maintenance On-Time On-Time Arriving,RSA,gAAAAABnlGiLmwj42m3xvAIoDp2gF_7VGii-2Emr9gW_nQbW-5lvxWSt5hvnkulwJnVW1XZrm2_shyJF5TQ7IejqkPFvA2nUTNclhlvdWPIPRhLNtFKKn1HepMXbMJSpAFpMQF_fEyBADUoCN0e4ufckvr5iy82tsw==,On-Time Station Train Maintenance On-Time On-Time Arriving,Failure,14.49,0.38,56.38,99.62,Not Secure
34,Maintenance Station Station On-Time On-Time Train Station,Maintenance Station Station On-Time On-Time Train Sthtion,1,Maintenance Station Station On-Time On-Time Train Station,HybridRSA-Blowfish,gAAAAABnlGiL0ZuikKh9ttX7Kzoih-ozr30zZFnEEGMuD7GoJ0xcCdgLFvwH5KkNrvllX122M3rkjw5psKbCHHFTUrrJ9QIdGYWnl0NVvY-AzLsKv8UyMCaBwTAkPkXbRC6JKi1K78FPCTckQfbI6-1FkkDnYwQP-A==,Maintenance Station Station On-Time On-Time Train Station,Failure,6.37,0.79,56.39,99.21,Not Secure
35,Departing Train Departing Maintenance,Departing Train Departing Maintenance,0,Departing Train Departing Maintenance,HybridRSA-Blowfish,gAAAAABnlGiLODea2bVwEA9428MxTwS2t3a9Yys7U4KkKxZPlWDTOimsk0CB0QGTqDKjdsg5WQkADDqW0ruyFFa5waqW7K5NEvlr-PCHRQHOCVaFgU1J7c3UapzqK2MDGJteppBxU1wg,Departing Train Departing Maintenance,Success,9.26,1.78,56.15,98.22,Secure
36,Maintenance Station Departing Departing,Maintenance Station Departing Departing,0,Maintenance Station Departing Departing,RSA,gAAAAABnlGiLdVqDv0EydnYzk1LkpSeAR7AM9t-ZsiQiHq2_TVXYX_AsgzqL3-Tw71AY4Qg9kfesuCqvs8f2FeAnMkdw4T_RrRORaTR6qe_ecpD0Zkpwnp3Jx8OwoJbLTTUFNER_G5Vl,Maintenance Station Departing Departing,Failure,13.14,0.34,56.06,99.66,Not Secure
37,Delays Maintenance Delays On-Time Station Arriving,Delays Maintenance Delays On-Time Station Arriving,0,Delays Maintenance Delays On-Time Station Arriving,Blowfish,gAAAAABnlGiLcvs6MHkHx8awE3YJOB2XB0oIU9udBFDbVWP8yQ8NPcT7myej8_c5dgbqRk5bFLigTDrZ_o-Q5LdPGfe9ZhWZ1vml3F9NkHnfhqkTCNZGdVWN1t0PplHhE4VseVSgzobYvl0xIU2sGVkLMMCbphuMCw==,Delays Maintenance Delays On-Time Station Arriving,Failure,6.15,0.24,54.38,99.76,Not Secure
38,Arriving Delays Train Delays On-Time Train On-Time,Arriving Delays Train Delays On-Time Train On-Time,0,Arriving Delays Train Delays On-Time Train On-Time,Blowfish,gAAAAABnlGiLijvVU2Edi3kRLlaDP5cukeDXu3f37MM_T0ouxDNvyqfoleAnCuctviNJGvB4KSbT5XRvgU0sVKphk3EmWqXPhq2MZqemhCAmDCMp_vOqmFdVH7qQ3Yl3PJxckKmIKU_bZdBFP161Iij_-JFwqOFZrQ==,Arriving Delays Train Delays On-Time Train On-Time,Success,13.35,0.61,57.2,99.39,Secure
39,On-Time Departing Delays On-Time On-Time,On-Time Departing Delays On-Time On-Time,0,On-Time Departing Delays On-Time On-Time,Blowfish,gAAAAABnlGiLWRbjqwZddMqb0o2_d7w-z95BCio6Qjd5ypo2dz_YIIAa86KE_s0dsPiQv6TtJWB__NiOUdHObl-yqLPawp763m8ATGPzPyC93SksBAqiZT7PoejJM533G-mtOLwOF40a,On-Time Departing Delays On-Time On-Time,Failure,11.87,0.96,57.36,99.04,Not Secure
40,Departing Delays Train Arriving Train,Departing Delays Train Arriving Train,0,Departing Delays Train Arriving Train,RSA,gAAAAABnlGiL0aiZ3mjCOVfSXNatdtW0_05WDwl_LvAckKtUjh55TNHezyXzjk35_QWu_mm30pI0YBQow-ZQ_CO1LS1RDuQb-gueDIRD33bMyDkIqDQeO70sYzbMU1vKxd0YSZRoFqj-,Departing Delays Train Arriving Train,Failure,9.98,0.78,53.42,99.22,Not Secure
41,Station Train Delays Delays,Station Train Delays Delays,0,Station Train Delays Delays,RSA,gAAAAABnlGiLjiVXXhpOilAGgelJ_TkfK6bM_vmrE4yiExwkQpJe7iA-HqBU_9DCRkEiW4Iu-QCGwTnEY_gtGYIu0yQFV1pWgOlQ1jfhvG-3dciC-q2ytS4=,Station Train Delays Delays,Failure,8.19,0.71,52.75,99.29,Not Secure
42,Train Station Station Departing Station Train,Train Station Station Departcng Station Train,1,Train Station Station Departing Station Train,HybridRSA-Blowfish,gAAAAABnlGiLJKEoBVrTW6jA0xTx0aszfDerACKhu9Vt2X8FW3ToyoXqrQI1STiZI9TxTFbzJC8UG7zCrLFEkMTx2u3xrsRKgg9knP1fHOMxyGhtGBbN1CBlJ44Bt-qgcvKwzZ7vSQxw,Train Station Station Departing Station Train,Failure,9.96,0.83,51.23,99.17,Not Secure
43,Station Departing On-Time Departing,Station Departing On-Time Departing,0,Station Departing On-Time Departing,Blowfish,gAAAAABnlGiLf20W3VtzuL7XAiNGpktzJ98ZNbCQ-7rBqZrVAE0DjqaFE2OjL6SL8drOI5-Xy2TDyWQKsQ0m3fXRXb14qQMLisI-5blsodBJUzK4ewKFnKNIi-swZMVL3tweoeV52HyW,Station Departing On-Time Departing,Failure,6.89,1.48,54.93,98.52,Not Secure
44,Arriving On-Time Train Delays On-Time,Arriving On-Time Train Delays On-Time,0,Arriving On-Time Train Delays On-Time,HybridRSA-Blowfish,gAAAAABnlGiL4VljRgvJpny8jdIbZMQeK9Y2_Vuwa_Y1LU5M-INCDaYIvB2H0sK17ErO2IndXHnJaw0S1ioqqtnwz-sBFm2lyf3IJeT_ZPwAReEJWqx7mgPSOb1q8CSzmAjQhv6cOEag,Arriving On-Time Train Delays On-Time,Success,12.93,1.4,54.19,98.6,Secure
45,Maintenance Arriving Train Train Maintenance,Maintenance Arriving Train Train Maintenance,0,Maintenance Arriving Train Train Maintenance,RSA,gAAAAABnlGiLA9LoiW-g9Q_QPgXA2FHdtKmDlUiKAhEd-zu4hH1dZ8Gq2pOyKL2-jaPO9GJ9a5jEwNFwL8zoToAFlsyhBze4dCCNp6eIX-9lUJXsSisvs9xSHuq-wVbbYQpVfb8Z4AKp,Maintenance Arriving Train Train Maintenance,Failure,9.97,1.38,59.26,98.62,Not Secure
46,On-Time Train Maintenance Station,On-Time Train Maintenance Station,0,On-Time Train Maintenance Station,HybridRSA-Blowfish,gAAAAABnlGiL9y-a74u44j-N2knG2-5x0aiPPjCodbdkzMVbWAVLOBepMQC0bNgCH3eMmrFvi1FhrFLro_iPW3SUp4CGtQWxwD_XTs7rSMT8NFIKnYvLQgt0A-01Bfy2r0T5RASpRrZ6,On-Time Train Maintenance Station,Success,9.26,1.23,52.38,98.77,Secure
47,Departing Departing Station Arriving Arriving,Departing Departing Station Arriving Arriving,0,Departing Departing Station Arriving Arriving,Blowfish,gAAAAABnlGiLggHJ9BSiddTX6mgWMJ19Yup1G8ueiDkVw-Wb46HTJxUAttIryYx27dVoZCc8Az7AVF21f3_NYqgz9W-GkLVrSX73r8EF_On8ol7mR5HpZRBshya1K1dIQWfq8Ku5rCMB,Departing Departing Station Arriving Arriving,Success,6.64,0.17,52.15,99.83,Secure
48,Delays Maintenance Station Departing Delays Delays,Delays Maintenance Station Departing Delays Delays,0,Delays Maintenance Station Departing Delays Delays,RSA,gAAAAABnlGiLStu1tms_vUlcONk20h5Ry9Gz6EgucDwhfzYjJEBsNcR42HSsQsEgO4QgSCaxIV7NCqch_Wl91vCEQX0qn18gXsIM-ODhqLC-7NHarLH3jUijhd43O8yB4h5XIiihk9dh51yyiYSDew-H24V7g77CTA==,Delays Maintenance Station Departing Delays Delays,Failure,9.8,0.65,51.98,99.35,Not Secure
49,Station Train Departing Departing,Station Train Departing Departing,0,Station Train Departing Departing,Blowfish,gAAAAABnlGiLoIR5WEpMtaUkaKc_yb3ADaZ29eracfzbTZcSM0yhALOsRQz141GP3_H-7miqnbDOXRh_r6gdcx8haMmgV1Wjyjn-vQ57mlxclKsC8zqMIeXeVroER5-Bk81lt8fisace,Station Train Departing Departing,Success,11.39,1.86,51.33,98.14,Secure
50,Train Train Station Maintenance On-Time,Train Train Station Maintenance On-Time,0,Train Train Station Maintenance On-Time,Blowfish,gAAAAABnlGiL1DFH1MmprtFChKIHdfE__zq-jPnP5VtKTN3VenQXY_NDdwyQppWdqRJiCXAXN_Oh8JFxu-m7DJAPBU_iu5riXYUOtiigbJKjG_mGfyebQ7Lv87JnvXrVx2AfzGO0bOmq,Train Train Station Maintenance On-Time,Success,14.77,1.01,58.55,98.99,Secure
51,Maintenance Arriving Delays Station Departing Delays Train,Maintenance Arriving Delays Station Departing Delays Train,0,Maintenance Arriving Delays Station Departing Delays Train,HybridRSA-Blowfish,gAAAAABnlGiLqRNnqpFFD_1V_N8Zl7Sz8FNi9ehqro3Ha-cbxTIcP9_cnSUNVVps_MzA-MZ6F2GgamH4_RJavfHMH55-MOKIlpSyFTtVME64JHd9QPAObC27njEbnYE7mYl-9-3H3OAFrrjY5Dy5W1fiKYSTe0EMng==,Maintenance Arriving Delays Station Departing Delays Train,Success,5.29,0.03,58.74,99.97,Secure
52,On-Time On-Time Maintenance On-Time Departing Departing Delays,On-Time On-Time Maintenance On-Time Departing Departing Delays,0,On-Time On-Time Maintenance On-Time Departing Departing Delays,RSA,gAAAAABnlGiLESbV3GuhZK0no_5ExLkc1JedOwhS7Kk8W5ZgR_FMwahWvCleJzDPKMSxAKI8FjcLiQ5iHZzr9205EaGHk9qu1mbNv_YYd1PJ9zM_reUSBcHKTKcbvJHR4CRT2_OEl7RR0Mk0gKbMOz7K5G40z0WXUQ==,On-Time On-Time Maintenance On-Time Departing Departing Delays,Success,12.86,1.68,58.62,98.32,Secure
53,On-Time Delays Station Arriving Delays,On-Time Delays Station Arriving Delays,0,On-Time Delays Station Arriving Delays,HybridRSA-Blowfish,gAAAAABnlGiLXkl-BXbzgHxyw1uQhbF-_EFWpciwWFE2_NwCPNoud9TshHs3EnfFYJfoTfT9vhCj6APEpQxrS8e-bzM_gPdKw6MLr8dMufsWSl6Yd4fFwVt_JEPqwCsC_NYTcYMgfHQE,On-Time Delays Station Arriving Delays,Success,11.94,1.04,51.86,98.96,Secure
54,Station On-Time Station Maintenance Station Arriving,Station On-Time Station Maintenance Station Arriving,0,Station On-Time Station Maintenance Station Arriving,RSA,gAAAAABnlGiLvSuuIEZsOnDpu2MMa9shR0GHeE6ksqYOaQRI-4P9s2yPUVIae8MK5jAA1q0JmPzTysEcKQy9NgfBO95kRugFB8niPhC5CCiF3W_CxOYJzW1pD2tNDANPnbVFCkxBj4Qz2RmSbP6JTQYBKTXlImKmXQ==,Station On-Time Station Maintenance Station Arriving,Success,6.19,0.82,58.16,99.18,Secure
