Message_ID,Error_Correction_Applied,Transmission_Time (ms),Error_Rate (%),Throughput (Mbps),Data_Integrity (%),processed_Original_Message,processed_Transmitted_Message,processed_Corrected_Message,processed_Encryption_Type,processed_Encrypted_Message,processed_Decrypted_Message,processed_Authentication_Status,Target
16,0,11.83,1.54,59.98,98.46,arriving station station station train departing,arriving station station station train departing,arriving station station station train departing,rsa,,arriving station station station train departing,failure,Not Secure
17,0,5.95,0.27,52.41,99.73,station station station delay arriving station,station station station delay arriving station,station station station delay arriving station,rsa,,station station station delay arriving station,failure,Not Secure
18,1,7.39,0.84,54.64,99.16,maintenance delay train arriving station arriving arriving,maintenance delay trjin arriving station arriving arriving,maintenance delay train arriving station arriving arriving,rsa,,maintenance delay train arriving station arriving arriving,failure,Not Secure
19,0,7.18,0.14,53.72,99.86,train maintenance station arriving delay departing train,train maintenance station arriving delay departing train,train maintenance station arriving delay departing train,rsa,,train maintenance station arriving delay departing train,success,Secure
20,0,5.92,0.75,55.1,99.25,train station maintenance arriving,train station maintenance arriving,train station maintenance arriving,,,train station maintenance arriving,success,Secure
21,0,8.71,0.49,50.5,99.51,maintenance departing delay arriving arriving,maintenance departing delay arriving arriving,maintenance departing delay arriving arriving,rsa,,maintenance departing delay arriving arriving,failure,Not Secure
22,0,11.97,1.6,58.47,98.4,maintenance train delay maintenance delay,maintenance train delay maintenance delay,maintenance train delay maintenance delay,rsa,,maintenance train delay maintenance delay,success,Secure
23,0,12.97,1.19,50.16,98.81,train departing arriving departing,train departing arriving departing,train departing arriving departing,blowfish,,train departing arriving departing,success,Secure
24,0,9.15,1.26,55.76,98.74,delay departing station arriving train delay delay,delay departing station arriving train delay delay,delay departing station arriving train delay delay,blowfish,,delay departing station arriving train delay delay,success,Secure
25,0,5.8,0.73,51.55,99.27,maintenance departing maintenance departing departing maintenance station,maintenance departing maintenance departing departing maintenance station,maintenance departing maintenance departing departing maintenance station,,,maintenance departing maintenance departing departing maintenance station,success,Secure
26,1,9.9,0.39,59.88,99.61,arriving delay maintenance delay delay,arrioing delay maintenance delay delay,arriving delay maintenance delay delay,,,arriving delay maintenance delay delay,failure,Not Secure
27,0,9.79,0.93,53.68,99.07,station delay station departing,station delay station departing,station delay station departing,,,station delay station departing,success,Secure
28,1,9.65,1.14,53.79,98.86,maintenance arriving train departing,maintenance arriving train demarting,maintenance arriving train departing,,,maintenance arriving train departing,failure,Not Secure
29,0,10.34,1.03,56.8,98.97,station train departing,station train departing,station train departing,rsa,,station train departing,success,Secure
30,0,8.95,1.08,50.03,98.92,departing station,departing station,departing station,,,departing station,success,Secure
31,0,9.22,0.77,50.77,99.23,departing station maintenance arriving maintenance,departing station maintenance arriving maintenance,departing station maintenance arriving maintenance,,,departing station maintenance arriving maintenance,success,Secure
32,0,10.69,1.84,51.76,98.16,station maintenance arriving,station maintenance arriving,station maintenance arriving,blowfish,,station maintenance arriving,success,Secure
33,0,14.49,0.38,56.38,99.62,station train maintenance arriving,station train maintenance arriving,station train maintenance arriving,rsa,,station train maintenance arriving,failure,Not Secure
34,1,6.37,0.79,56.39,99.21,maintenance station station train station,maintenance station station train sthtion,maintenance station station train station,,,maintenance station station train station,failure,Not Secure
35,0,9.26,1.78,56.15,98.22,departing train departing maintenance,departing train departing maintenance,departing train departing maintenance,,,departing train departing maintenance,success,Secure
36,0,13.14,0.34,56.06,99.66,maintenance station departing departing,maintenance station departing departing,maintenance station departing departing,rsa,,maintenance station departing departing,failure,Not Secure
37,0,6.15,0.24,54.38,99.76,delay maintenance delay station arriving,delay maintenance delay station arriving,delay maintenance delay station arriving,blowfish,,delay maintenance delay station arriving,failure,Not Secure
38,0,13.35,0.61,57.2,99.39,arriving delay train delay train,arriving delay train delay train,arriving delay train delay train,blowfish,,arriving delay train delay train,success,Secure
39,0,11.87,0.96,57.36,99.04,departing delay,departing delay,departing delay,blowfish,,departing delay,failure,Not Secure
40,0,9.98,0.78,53.42,99.22,departing delay train arriving train,departing delay train arriving train,departing delay train arriving train,rsa,,departing delay train arriving train,failure,Not Secure
41,0,8.19,0.71,52.75,99.29,station train delay delay,station train delay delay,station train delay delay,rsa,,station train delay delay,failure,Not Secure
42,1,9.96,0.83,51.23,99.17,train station station departing station train,train station station departcng station train,train station station departing station train,,,train station station departing station train,failure,Not Secure
43,0,6.89,1.48,54.93,98.52,station departing departing,station departing departing,station departing departing,blowfish,,station departing departing,failure,Not Secure
44,0,12.93,1.4,54.19,98.6,arriving train delay,arriving train delay,arriving train delay,,,arriving train delay,success,Secure
45,0,9.97,1.38,59.26,98.62,maintenance arriving train train maintenance,maintenance arriving train train maintenance,maintenance arriving train train maintenance,rsa,,maintenance arriving train train maintenance,failure,Not Secure
46,0,9.26,1.23,52.38,98.77,train maintenance station,train maintenance station,train maintenance station,,,train maintenance station,success,Secure
47,0,6.64,0.17,52.15,99.83,departing departing station arriving arriving,departing departing station arriving arriving,departing departing station arriving arriving,blowfish,,departing departing station arriving arriving,success,Secure
48,0,9.8,0.65,51.98,99.35,delay maintenance station departing delay delay,delay maintenance station departing delay delay,delay maintenance station departing delay delay,rsa,,delay maintenance station departing delay delay,failure,Not Secure
49,0,11.39,1.86,51.33,98.14,station train departing departing,station train departing departing,station train departing departing,blowfish,,station train departing departing,success,Secure
50,0,14.77,1.01,58.55,98.99,train train station maintenance,train train station maintenance,train train station maintenance,blowfish,,train train station maintenance,success,Secure
51,0,5.29,0.03,58.74,99.97,maintenance arriving delay station departing delay train,maintenance arriving delay station departing delay train,maintenance arriving delay station departing delay train,,,maintenance arriving delay station departing delay train,success,Secure
52,0,12.86,1.68,58.62,98.32,maintenance departing departing delay,maintenance departing departing delay,maintenance departing departing delay,rsa,,maintenance departing departing delay,success,Secure
53,0,11.94,1.04,51.86,98.96,delay station arriving delay,delay station arriving delay,delay station arriving delay,,,delay station arriving delay,success,Secure
54,0,6.19,0.82,58.16,99.18,station station maintenance station arriving,station station maintenance station arriving,station station maintenance station arriving,rsa,,station station maintenance station arriving,success,Secure
55,0,11.43,0.82,56.44,99.18,arriving arriving train station train arriving,arriving arriving train station train arriving,arriving arriving train station train arriving,rsa,,arriving arriving train station train arriving,success,Secure
56,0,7.44,1.53,52.72,98.47,arriving station maintenance maintenance delay,arriving station maintenance maintenance delay,arriving station maintenance maintenance delay,rsa,,arriving station maintenance maintenance delay,success,Secure
57,0,9.47,1.83,54.37,98.17,arriving train departing delay,arriving train departing delay,arriving train departing delay,blowfish,,arriving train departing delay,failure,Not Secure
58,0,11.17,1.7,57.73,98.3,maintenance arriving,maintenance arriving,maintenance arriving,rsa,,maintenance arriving,success,Secure
59,0,12.49,0.29,50.76,99.71,train arriving arriving,train arriving arriving,train arriving arriving,,,train arriving arriving,success,Secure
60,0,11.67,0.16,58.86,99.84,station maintenance delay train maintenance,station maintenance delay train maintenance,station maintenance delay train maintenance,blowfish,,station maintenance delay train maintenance,success,Secure
61,0,6.85,0.48,50.59,99.52,maintenance maintenance arriving arriving,maintenance maintenance arriving arriving,maintenance maintenance arriving arriving,rsa,,maintenance maintenance arriving arriving,success,Secure
62,0,12.91,0.86,57.36,99.14,arriving departing arriving maintenance,arriving departing arriving maintenance,arriving departing arriving maintenance,,,arriving departing arriving maintenance,failure,Not Secure
63,0,5.39,1.77,50.02,98.23,arriving delay maintenance train train,arriving delay maintenance train train,arriving delay maintenance train train,,,arriving delay maintenance train train,failure,Not Secure
64,0,14.12,1.87,51.72,98.13,train train station arriving,train train station arriving,train train station arriving,blowfish,,train train station arriving,failure,Not Secure
65,0,5.31,1.51,59.93,98.49,station arriving maintenance maintenance,station arriving maintenance maintenance,station arriving maintenance maintenance,blowfish,,station arriving maintenance maintenance,success,Secure
66,0,12.88,0.66,56.43,99.34,delay departing,delay departing,delay departing,blowfish,,delay departing,failure,Not Secure
67,0,6.03,1.85,51.28,98.15,arriving maintenance maintenance delay maintenance,arriving maintenance maintenance delay maintenance,arriving maintenance maintenance delay maintenance,rsa,,arriving maintenance maintenance delay maintenance,success,Secure
68,0,6.83,0.52,54.45,99.48,departing departing station maintenance train,departing departing station maintenance train,departing departing station maintenance train,,,departing departing station maintenance train,failure,Not Secure
69,0,7.54,0.34,59.33,99.66,maintenance maintenance train,maintenance maintenance train,maintenance maintenance train,blowfish,,maintenance maintenance train,success,Secure
70,0,8.74,0.95,56.51,99.05,arriving train maintenance departing,arriving train maintenance departing,arriving train maintenance departing,,,arriving train maintenance departing,failure,Not Secure
71,0,5.39,1.52,55.83,98.48,maintenance delay delay maintenance station station,maintenance delay delay maintenance station station,maintenance delay delay maintenance station station,,,maintenance delay delay maintenance station station,failure,Not Secure
72,0,13.29,0.69,56.84,99.31,station maintenance arriving train maintenance maintenance,station maintenance arriving train maintenance maintenance,station maintenance arriving train maintenance maintenance,rsa,,station maintenance arriving train maintenance maintenance,success,Secure
73,0,13.05,1.66,55.08,98.34,departing train arriving departing delay,departing train arriving departing delay,departing train arriving departing delay,rsa,,departing train arriving departing delay,failure,Not Secure
74,0,14.39,0.53,59.12,99.47,maintenance departing,maintenance departing,maintenance departing,rsa,,maintenance departing,success,Secure
75,0,14.39,1.07,51.09,98.93,station departing,station departing,station departing,rsa,,station departing,success,Secure
76,0,11.84,0.2,59.28,99.8,maintenance train departing departing train,maintenance train departing departing train,maintenance train departing departing train,blowfish,,maintenance train departing departing train,success,Secure
77,0,13.17,1.79,57.88,98.21,departing arriving arriving station delay delay station,departing arriving arriving station delay delay station,departing arriving arriving station delay delay station,rsa,,departing arriving arriving station delay delay station,success,Secure
78,0,10.09,1.53,52.91,98.47,delay station arriving delay maintenance,delay station arriving delay maintenance,delay station arriving delay maintenance,rsa,,delay station arriving delay maintenance,failure,Not Secure
79,0,5.02,0.39,57.88,99.61,arriving departing train delay,arriving departing train delay,arriving departing train delay,rsa,,arriving departing train delay,failure,Not Secure
80,0,11.16,0.99,51.79,99.01,delay delay delay,delay delay delay,delay delay delay,,,delay delay delay,failure,Not Secure
81,1,10.47,0.01,53.52,99.99,station arriving station departing departing,station arriving statioz departing departing,station arriving station departing departing,blowfish,,station arriving station departing departing,success,Secure
82,0,7.86,1.72,50.4,98.28,departing arriving train station delay maintenance,departing arriving train station delay maintenance,departing arriving train station delay maintenance,blowfish,,departing arriving train station delay maintenance,success,Secure
83,0,13.83,1.47,50.13,98.53,delay train maintenance station departing,delay train maintenance station departing,delay train maintenance station departing,blowfish,,delay train maintenance station departing,failure,Not Secure
84,0,14.59,1.73,53.45,98.27,arriving maintenance train,arriving maintenance train,arriving maintenance train,,,arriving maintenance train,failure,Not Secure
85,1,10.96,0.9,55.31,99.1,station train arriving train station,station train arriving traiv station,station train arriving train station,rsa,,station train arriving train station,failure,Not Secure
86,0,8.15,1.87,57.6,98.13,station arriving maintenance,station arriving maintenance,station arriving maintenance,,gaaaaabnlgilpao5obstpdettsns7kpeumeoxdw7szcyrbnnncysnmfxkhpswcvcmyz0mpit99mlalsypzjtqkjz2xmy01gpm69qiysmq2ld3swklot3fvsr6s8x54kxlvovcwlgl4l5,station arriving maintenance,failure,Not Secure
87,0,6.13,1.04,57.97,98.96,station maintenance station delay arriving,station maintenance station delay arriving,station maintenance station delay arriving,blowfish,,station maintenance station delay arriving,success,Secure
88,0,12.12,0.37,56.57,99.63,departing station station,departing station station,departing station station,blowfish,,departing station station,success,Secure
89,0,14.2,1.69,58.95,98.31,delay delay train train delay delay,delay delay train train delay delay,delay delay train train delay delay,blowfish,gaaaaabnlgil4j77p353vg5uc3satnbn,delay delay train train delay delay,success,Secure
90,1,6.13,1.73,55.71,98.27,departing departing train train station,dfparting departing train train station,departing departing train train station,blowfish,,departing departing train train station,failure,Not Secure
91,0,5.42,1.42,53.51,98.58,arriving train train station maintenance departing,arriving train train station maintenance departing,arriving train train station maintenance departing,,,arriving train train station maintenance departing,success,Secure
92,1,14.78,0.14,54.65,99.86,arriving maintenance,arriving maintenance,arriving maintenance,,,arriving maintenance,success,Secure
93,0,12.13,0.68,54.9,99.32,delay train train,delay train train,delay train train,,,delay train train,success,Secure
94,0,11.23,1.21,52.91,98.79,station arriving station departing,station arriving station departing,station arriving station departing,rsa,,station arriving station departing,failure,Not Secure
95,1,7.05,1.71,58.02,98.29,train station station arriving maintenance delay,train station statijn arriving maintenance delay,train station station arriving maintenance delay,blowfish,,train station station arriving maintenance delay,failure,Not Secure
96,0,6.91,0.11,57.57,99.89,station departing delay station,station departing delay station,station departing delay station,blowfish,,station departing delay station,failure,Not Secure
97,0,10.47,0.14,54.83,99.86,departing arriving arriving departing train,departing arriving arriving departing train,departing arriving arriving departing train,,,departing arriving arriving departing train,success,Secure
98,0,13.08,0.92,51.92,99.08,train departing departing delay delay,train departing departing delay delay,train departing departing delay delay,rsa,,train departing departing delay delay,failure,Not Secure
99,1,11.68,1.21,51.64,98.79,delay delay delay delay station delay,delayv delay delay delay station delay,delay delay delay delay station delay,rsa,,delay delay delay delay station delay,failure,Not Secure
100,0,10.72,0.46,52.17,99.54,arriving station maintenance,arriving station maintenance,arriving station maintenance,,,arriving station maintenance,success,Secure
101,0,10.34,1.96,54.74,98.04,arriving maintenance maintenance station train,arriving maintenance maintenance station train,arriving maintenance maintenance station train,blowfish,,arriving maintenance maintenance station train,failure,Not Secure
102,0,10.21,1.64,50.98,98.36,station maintenance delay departing,station maintenance delay departing,station maintenance delay departing,,,station maintenance delay departing,success,Secure
103,1,9.58,0.97,50.38,99.03,maintenance arriving maintenance station departing,maintwnance arriving maintenance station departing,maintenance arriving maintenance station departing,,,maintenance arriving maintenance station departing,failure,Not Secure
104,0,11.59,1.3,59.58,98.7,train train maintenance station train arriving,train train maintenance station train arriving,train train maintenance station train arriving,,,train train maintenance station train arriving,failure,Not Secure
105,1,11.63,0.21,54.34,99.79,delay train delay maintenance maintenance,delay train delay maintenance maiktenance,delay train delay maintenance maintenance,rsa,,delay train delay maintenance maintenance,success,Secure
106,0,13.02,1.58,57.03,98.42,arriving arriving arriving,arriving arriving arriving,arriving arriving arriving,blowfish,,arriving arriving arriving,failure,Not Secure
107,0,11.98,1.17,54.68,98.83,arriving station delay delay arriving train train,arriving station delay delay arriving train train,arriving station delay delay arriving train train,rsa,,arriving station delay delay arriving train train,failure,Not Secure
108,1,10.77,1.06,50.32,98.94,station train delay train,station traiy delay train,station train delay train,rsa,,station train delay train,success,Secure
109,1,10.61,0.01,55.1,99.99,arriving departing maintenance departing,arrivtng departing maintenance departing,arriving departing maintenance departing,blowfish,,arriving departing maintenance departing,success,Secure
110,0,13.7,1.08,57.95,98.92,departing station arriving maintenance delay station delay,departing station arriving maintenance delay station delay,departing station arriving maintenance delay station delay,rsa,,departing station arriving maintenance delay station delay,success,Secure
111,0,8.81,0.03,55.76,99.97,station arriving station delay maintenance,station arriving station delay maintenance,station arriving station delay maintenance,rsa,,station arriving station delay maintenance,failure,Not Secure
112,1,6.06,1.68,53.06,98.32,arriving delay departing arriving maintenance train,arriving delay departing arrqving maintenance train,arriving delay departing arriving maintenance train,,,arriving delay departing arriving maintenance train,failure,Not Secure
113,0,7.18,0.5,52.81,99.5,station station train maintenance maintenance,station station train maintenance maintenance,station station train maintenance maintenance,blowfish,,station station train maintenance maintenance,failure,Not Secure
114,1,6.86,1.31,51.87,98.69,maintenance maintenance,maintenance maintenajce,maintenance maintenance,rsa,,maintenance maintenance,success,Secure
115,0,9.72,0.83,53.59,99.17,maintenance departing train,maintenance departing train,maintenance departing train,blowfish,,maintenance departing train,success,Secure
116,0,5.45,0.53,56.39,99.47,maintenance delay departing train delay,maintenance delay departing train delay,maintenance delay departing train delay,blowfish,,maintenance delay departing train delay,failure,Not Secure
117,0,11.16,1.11,53.47,98.89,delay maintenance delay train train train departing,delay maintenance delay train train train departing,delay maintenance delay train train train departing,,,delay maintenance delay train train train departing,success,Secure
118,0,9.0,1.52,58.54,98.48,delay departing delay delay,delay departing delay delay,delay departing delay delay,rsa,,delay departing delay delay,success,Secure
119,0,13.83,1.01,59.98,98.99,train delay delay delay departing,train delay delay delay departing,train delay delay delay departing,rsa,,train delay delay delay departing,success,Secure
120,0,13.85,1.13,58.95,98.87,arriving station train train,arriving station train train,arriving station train train,,,arriving station train train,failure,Not Secure
121,1,11.28,1.89,56.44,98.11,arriving delay delay arriving train,arriving delay decay arriving train,arriving delay delay arriving train,,,arriving delay delay arriving train,success,Secure
122,0,12.38,1.78,51.86,98.22,arriving train maintenance departing,arriving train maintenance departing,arriving train maintenance departing,,,arriving train maintenance departing,success,Secure
123,1,12.55,0.77,55.2,99.23,station train delay maintenance arriving station,station train delay maintenance arriviag station,station train delay maintenance arriving station,rsa,,station train delay maintenance arriving station,success,Secure
124,0,11.84,0.16,57.45,99.84,station departing arriving maintenance delay,station departing arriving maintenance delay,station departing arriving maintenance delay,blowfish,,station departing arriving maintenance delay,failure,Not Secure
125,0,9.8,0.8,52.69,99.2,delay maintenance arriving,delay maintenance arriving,delay maintenance arriving,rsa,,delay maintenance arriving,success,Secure
126,0,13.4,1.7,55.3,98.3,maintenance maintenance arriving,maintenance maintenance arriving,maintenance maintenance arriving,blowfish,,maintenance maintenance arriving,failure,Not Secure
127,0,7.11,1.31,57.33,98.69,departing delay train arriving,departing delay train arriving,departing delay train arriving,blowfish,,departing delay train arriving,failure,Not Secure
128,0,13.37,0.21,57.75,99.79,station station departing maintenance departing,station station departing maintenance departing,station station departing maintenance departing,rsa,,station station departing maintenance departing,success,Secure
129,1,13.09,0.15,54.12,99.85,departing delay delay maintenance,departing delay delnys maintenance,departing delay delay maintenance,blowfish,,departing delay delay maintenance,failure,Not Secure
130,0,9.68,1.45,57.09,98.55,departing departing train delay train,departing departing train delay train,departing departing train delay train,rsa,,departing departing train delay train,success,Secure
131,0,5.25,0.12,50.13,99.88,arriving delay train station train arriving train,arriving delay train station train arriving train,arriving delay train station train arriving train,rsa,,arriving delay train station train arriving train,failure,Not Secure
132,1,13.92,1.82,59.5,98.18,arriving delay departing arriving station arriving,arriving delay departing arriving station arriving,arriving delay departing arriving station arriving,blowfish,,arriving delay departing arriving station arriving,success,Secure
133,1,7.9,0.92,57.09,99.08,train arriving arriving departing delay maintenance,train arriving arriving departing delay maintegance,train arriving arriving departing delay maintenance,rsa,,train arriving arriving departing delay maintenance,success,Secure
134,0,11.57,1.51,53.5,98.49,delay maintenance train station arriving train arriving,delay maintenance train station arriving train arriving,delay maintenance train station arriving train arriving,rsa,,delay maintenance train station arriving train arriving,failure,Not Secure
135,0,8.53,0.63,57.79,99.37,departing station train station,departing station train station,departing station train station,blowfish,,departing station train station,failure,Not Secure
136,0,11.92,0.99,52.24,99.01,train station departing arriving maintenance,train station departing arriving maintenance,train station departing arriving maintenance,blowfish,,train station departing arriving maintenance,failure,Not Secure
137,0,7.94,0.98,57.97,99.02,train delay arriving delay arriving station,train delay arriving delay arriving station,train delay arriving delay arriving station,blowfish,,train delay arriving delay arriving station,success,Secure
138,0,9.72,1.89,56.64,98.11,departing delay departing departing station,departing delay departing departing station,departing delay departing departing station,,,departing delay departing departing station,failure,Not Secure
139,0,10.98,0.19,56.28,99.81,delay station maintenance,delay station maintenance,delay station maintenance,,,delay station maintenance,failure,Not Secure
140,0,7.92,1.91,52.13,98.09,maintenance maintenance departing arriving departing arriving maintenance,maintenance maintenance departing arriving departing arriving maintenance,maintenance maintenance departing arriving departing arriving maintenance,,,maintenance maintenance departing arriving departing arriving maintenance,success,Secure
141,0,7.43,0.92,51.4,99.08,departing arriving arriving departing station,departing arriving arriving departing station,departing arriving arriving departing station,,,departing arriving arriving departing station,failure,Not Secure
142,0,7.75,0.38,59.18,99.62,delay arriving departing arriving train,delay arriving departing arriving train,delay arriving departing arriving train,blowfish,,delay arriving departing arriving train,failure,Not Secure
143,0,11.96,1.2,54.15,98.8,maintenance departing departing maintenance,maintenance departing departing maintenance,maintenance departing departing maintenance,,,maintenance departing departing maintenance,failure,Not Secure
144,1,5.86,0.94,54.86,99.06,delay departing departing station maintenance delay,ddlays departing departing station maintenance delay,delay departing departing station maintenance delay,,,delay departing departing station maintenance delay,success,Secure
145,0,7.19,0.96,57.54,99.04,delay departing departing train,delay departing departing train,delay departing departing train,,,delay departing departing train,success,Secure
146,0,13.15,0.92,54.59,99.08,arriving station departing train,arriving station departing train,arriving station departing train,blowfish,,arriving station departing train,success,Secure
147,0,12.49,0.15,59.12,99.85,maintenance departing station,maintenance departing station,maintenance departing station,blowfish,,maintenance departing station,success,Secure
148,0,6.75,0.85,57.22,99.15,maintenance maintenance delay train,maintenance maintenance delay train,maintenance maintenance delay train,rsa,,maintenance maintenance delay train,success,Secure
149,0,12.58,0.05,51.83,99.95,maintenance departing station arriving arriving,maintenance departing station arriving arriving,maintenance departing station arriving arriving,blowfish,,maintenance departing station arriving arriving,failure,Not Secure
150,0,9.08,1.24,56.07,98.76,maintenance arriving delay departing departing delay,maintenance arriving delay departing departing delay,maintenance arriving delay departing departing delay,rsa,,maintenance arriving delay departing departing delay,failure,Not Secure
151,1,8.39,0.24,53.34,99.76,delay departing arriving departing station,delay departing arriving ieparting station,delay departing arriving departing station,rsa,,delay departing arriving departing station,failure,Not Secure
152,1,6.1,1.99,50.39,98.01,delay station station departing train delay delay,delay statioa station departing train delay delay,delay station station departing train delay delay,blowfish,,delay station station departing train delay delay,failure,Not Secure
153,1,6.27,1.51,56.53,98.49,train train station station delay departing,traiq train station station delay departing,train train station station delay departing,,,train train station station delay departing,failure,Not Secure
154,0,6.4,0.47,57.0,99.53,train arriving maintenance departing arriving maintenance,train arriving maintenance departing arriving maintenance,train arriving maintenance departing arriving maintenance,,,train arriving maintenance departing arriving maintenance,failure,Not Secure
155,1,8.14,0.3,51.01,99.7,train train arriving train,train train hrriving train,train train arriving train,rsa,,train train arriving train,failure,Not Secure
156,0,14.23,0.83,50.67,99.17,station departing delay delay arriving,station departing delay delay arriving,station departing delay delay arriving,,,station departing delay delay arriving,success,Secure
157,0,9.74,1.12,59.3,98.88,train delay station,train delay station,train delay station,rsa,,train delay station,success,Secure
158,0,7.26,1.3,53.34,98.7,departing arriving delay station maintenance,departing arriving delay station maintenance,departing arriving delay station maintenance,,,departing arriving delay station maintenance,failure,Not Secure
159,1,11.78,1.11,55.72,98.89,delay station departing train,delay station depyrting train,delay station departing train,rsa,,delay station departing train,success,Secure
160,0,12.05,1.6,56.72,98.4,departing departing departing,departing departing departing,departing departing departing,rsa,,departing departing departing,failure,Not Secure
161,0,13.72,0.69,53.99,99.31,station train arriving departing arriving station,station train arriving departing arriving station,station train arriving departing arriving station,rsa,,station train arriving departing arriving station,success,Secure
162,0,12.8,1.76,51.52,98.24,train station arriving arriving delay arriving,train station arriving arriving delay arriving,train station arriving arriving delay arriving,blowfish,,train station arriving arriving delay arriving,success,Secure
163,0,5.63,0.84,50.01,99.16,departing arriving maintenance,departing arriving maintenance,departing arriving maintenance,,,departing arriving maintenance,failure,Not Secure
164,0,10.18,0.37,53.85,99.63,maintenance delay arriving train delay arriving departing,maintenance delay arriving train delay arriving departing,maintenance delay arriving train delay arriving departing,rsa,,maintenance delay arriving train delay arriving departing,success,Secure
165,0,9.32,0.61,54.39,99.39,station departing station train,station departing station train,station departing station train,,,station departing station train,success,Secure
166,0,10.15,1.84,55.75,98.16,station departing train departing train train,station departing train departing train train,station departing train departing train train,,,station departing train departing train train,success,Secure
167,0,9.54,0.36,55.62,99.64,maintenance departing delay maintenance,maintenance departing delay maintenance,maintenance departing delay maintenance,rsa,,maintenance departing delay maintenance,failure,Not Secure
168,0,9.08,0.91,51.35,99.09,station departing train station arriving,station departing train station arriving,station departing train station arriving,blowfish,,station departing train station arriving,failure,Not Secure
169,0,13.72,1.87,50.1,98.13,departing departing station station train departing,departing departing station station train departing,departing departing station station train departing,rsa,,departing departing station station train departing,failure,Not Secure
170,1,6.46,1.51,50.78,98.49,delay departing delay maintenance,delay departing delay maintenancz,delay departing delay maintenance,rsa,,delay departing delay maintenance,success,Secure
171,0,10.69,0.64,59.3,99.36,delay train station train,delay train station train,delay train station train,,,delay train station train,success,Secure
172,0,10.63,0.77,51.8,99.23,train delay delay station,train delay delay station,train delay delay station,,,train delay delay station,failure,Not Secure
173,0,12.07,1.66,58.91,98.34,train station delay station,train station delay station,train station delay station,rsa,,train station delay station,success,Secure
174,0,13.6,1.11,58.65,98.89,departing delay arriving,departing delay arriving,departing delay arriving,blowfish,,departing delay arriving,success,Secure
175,0,12.96,0.7,57.7,99.3,station train departing,station train departing,station train departing,,,station train departing,failure,Not Secure
176,0,8.51,1.14,59.33,98.86,arriving train maintenance train maintenance,arriving train maintenance train maintenance,arriving train maintenance train maintenance,blowfish,,arriving train maintenance train maintenance,success,Secure
177,0,9.17,0.62,50.52,99.38,departing arriving arriving delay,departing arriving arriving delay,departing arriving arriving delay,rsa,,departing arriving arriving delay,failure,Not Secure
178,1,14.5,0.35,53.39,99.65,arriving delay departing maintenance arriving,arriving delay departing maintenanceharriving,arriving delay departing maintenance arriving,,,arriving delay departing maintenance arriving,failure,Not Secure
179,0,11.62,0.94,59.28,99.06,train maintenance maintenance station delay train,train maintenance maintenance station delay train,train maintenance maintenance station delay train,blowfish,,train maintenance maintenance station delay train,success,Secure
